答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_角色,Q2_年龄,Q3_在读或已取得学历,Q4_高中的学科偏向,Q5_性别,Q6_对Alpha Go/Master/Zero等目前AI水平的态度？,Q7_再过二十年，AI已经能完成大部分人类的机械劳动时，能完全大部分非设计性工作，你如何看人类工作逐渐被代替的趋势？,Q8_如果再过四十年，AI发展到有了自我意识，有自己独立的思考和判断，能完成一定设计性工作，如编程/绘画/写作，你如何看？,Q9_再过一百年以上，AI真的发展到超越人类能力，能完成许多人类无法完成的工作，如短时间完成小说，完成科学研究等，你如何看？,Q10_如果你能决定一百年后AI发展的发展程度，你觉得什么程度比较合适
12,60.207.237.61,,,,,,,,,2018-12-16 18:35:32,2018-12-16 18:37:13,Chrome 57.0.2987.132,Android Linux 7.1.1,1分41秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,超越人类
13,36.49.70.32,,,,,,,,,2018-12-16 18:37:03,2018-12-16 18:38:18,Unknown Browser,iPhone iOS 12.0.1,1分15秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的灭亡，人类被AI支配的时代,完成机械工作即可
14,60.207.237.23,,,,,,,,,2018-12-16 18:38:00,2018-12-16 18:38:55,Unknown Browser,iPhone iOS 12.1.1,0分55秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,大量人将找不到工作，社会会混乱，表示担忧,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
15,138.250.6.3,,,,,,,,,2018-12-16 18:36:12,2018-12-16 18:39:25,Chrome 70.0.3538.110,Windows NT 10.0,3分13秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
16,60.207.237.88,,,,,,,,,2018-12-16 18:40:31,2018-12-16 18:41:16,Chrome 57.0.2987.132,Android Linux 8.0,0分45秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,大量人将找不到工作，社会会混乱，表示担忧,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
17,60.207.237.60,,,,,,,,,2018-12-16 18:40:52,2018-12-16 18:41:38,Unknown Browser,iPhone iOS 12.0,0分46秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,完成机械工作即可
18,183.198.59.168,,,,,,,,,2018-12-16 18:40:56,2018-12-16 18:42:33,Chrome 66.0.3359.126,Android Linux 4.4.4,1分37秒,正常完成,其他,30-39,本科,理科,女,无所谓没感觉,大量人将找不到工作，社会会混乱，表示担忧,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
19,124.64.16.119,,,,,,,,,2018-12-16 18:42:16,2018-12-16 18:43:25,Chrome 57.0.2987.132,Android Linux 8.0,1分9秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
20,223.84.159.14,,,,,,,,,2018-12-16 18:49:57,2018-12-16 18:50:46,Unknown Browser,iPhone iOS 12.1,0分49秒,正常完成,学生,,本科,理科,女,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,有思考和学习能力
21,117.136.0.128,,,,,,,,,2018-12-16 18:50:39,2018-12-16 18:51:28,Chrome 66.0.3359.126,Android Linux 8.0.0,0分49秒,正常完成,学生,,硕士,理科,女,无所谓没感觉,大量人将找不到工作，社会会混乱，表示担忧,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
22,117.136.0.159,,,,,,,,,2018-12-16 18:52:14,2018-12-16 18:53:16,Chrome 66.0.3359.126,Android Linux 8.1.0,1分2秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
23,111.162.203.121,,,,,,,,,2018-12-16 18:57:07,2018-12-16 18:58:05,Chrome 57.0.2987.132,Android Linux 8.0,0分58秒,正常完成,学生,,本科,文科,女,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
24,117.136.0.225,,,,,,,,,2018-12-16 18:58:37,2018-12-16 18:59:22,Chrome 66.0.3359.126,Android Linux 8.1.0,0分45秒,正常完成,学生,,硕士,理科,女,害怕担心反对,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
25,220.249.163.152,,,,,,,,,2018-12-16 18:58:19,2018-12-16 18:59:47,Unknown Browser,iPhone iOS 12.1.1,1分28秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
26,60.207.237.40,,,,,,,,,2018-12-16 19:00:08,2018-12-16 19:00:52,Chrome 57.0.2987.132,Android Linux 8.0,0分44秒,正常完成,学生,,本科,理科,女,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
27,60.207.237.82,,,,,,,,,2018-12-16 19:01:37,2018-12-16 19:02:02,Unknown Browser,iPhone iOS 12.0,0分25秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的灭亡，人类被AI支配的时代,能力与人类差不多
28,60.207.237.94,,,,,,,,,2018-12-16 19:01:24,2018-12-16 19:02:23,Unknown Browser,iPhone iOS 11.3,0分59秒,正常完成,学生,,本科,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,超越人类
29,223.104.3.42,,,,,,,,,2018-12-16 19:03:42,2018-12-16 19:04:15,Chrome 57.0.2987.132,Android Linux 8.0,0分33秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,超越人类
30,117.136.38.190,,,,,,,,,2018-12-16 19:05:59,2018-12-16 19:07:40,Chrome 57.0.2987.132,Android Linux 8.0,1分41秒,正常完成,学生,,本科,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,能力与人类差不多
31,60.207.237.82,,,,,,,,,2018-12-16 19:17:42,2018-12-16 19:18:37,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,0分55秒,正常完成,学生,,硕士,理科,女,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的灭亡，人类被AI支配的时代,有思考和学习能力
32,60.207.237.23,,,,,,,,,2018-12-16 19:18:14,2018-12-16 19:18:58,Chrome 68.0.3440.91,Android Linux 8.1.0,0分44秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,完成机械工作即可
33,104.248.147.20,,,,,,,,,2018-12-16 19:32:08,2018-12-16 19:33:14,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,1分6秒,正常完成,学生,,本科,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,超越人类
34,124.207.188.68,,,,,,,,,2018-12-16 19:32:57,2018-12-16 19:33:40,Unknown Browser,IPad iOS 12.1,0分43秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
35,60.207.237.95,,,,,,,,,2018-12-16 19:33:12,2018-12-16 19:33:55,Unknown Browser,iPhone iOS 11.2.2,0分43秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,超越人类
36,36.61.68.20,,,,,,,,,2018-12-16 19:33:20,2018-12-16 19:34:13,Chrome 66.0.3359.126,Android Linux 7.1.2,0分53秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的解放，人类终于能实现自我理想,有思考和学习能力
37,223.104.3.4,,,,,,,,,2018-12-16 19:34:01,2018-12-16 19:34:43,Unknown Browser,iPhone iOS 11.2,0分42秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
38,122.96.41.152,,,,,,,,,2018-12-16 19:35:05,2018-12-16 19:36:06,Chrome 62.0.3202.84,Android Linux 8.1.0,1分1秒,正常完成,学生,,本科,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
39,117.136.0.202,,,,,,,,,2018-12-16 19:35:09,2018-12-16 19:36:09,Chrome 57.0.2987.132,Android Linux 8.1,1分0秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,大量人将找不到工作，社会会混乱，表示担忧,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,完成机械工作即可
40,60.207.237.15,,,,,,,,,2018-12-16 19:35:40,2018-12-16 19:36:27,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,0分47秒,正常完成,学生,,博士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,能力与人类差不多
41,111.40.189.50,,,,,,,,,2018-12-16 19:34:40,2018-12-16 19:36:33,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,1分53秒,正常完成,其他,40以上,博士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
42,60.207.237.8,,,,,,,,,2018-12-16 19:38:02,2018-12-16 19:38:47,Unknown Browser,iPhone iOS 12.1,0分45秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,能力与人类差不多
43,124.64.17.215,,,,,,,,,2018-12-16 19:38:35,2018-12-16 19:39:38,Chrome 57.0.2987.132,Android Linux 6.0,1分3秒,正常完成,学生,,硕士,理科,男,害怕担心反对,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,能力与人类差不多
44,223.104.215.145,,,,,,,,,2018-12-16 19:38:00,2018-12-16 19:40:12,Chrome 57.0.2987.132,Android Linux 8.1,2分12秒,正常完成,其他,30-39,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
45,60.207.237.36,,,,,,,,,2018-12-16 19:42:26,2018-12-16 19:42:59,Chrome 66.0.3359.126,Android Linux 8.0.0,0分33秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,能力与人类差不多
46,117.136.38.178,,,,,,,,,2018-12-16 19:43:33,2018-12-16 19:44:29,Chrome 66.0.3359.126,Android Linux 8.1.0,0分56秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
47,139.207.121.162,,,,,,,,,2018-12-16 19:46:08,2018-12-16 19:46:57,Unknown Browser,iPhone iOS 10.3.2,0分49秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,超越人类
48,124.64.16.40,,,,,,,,,2018-12-16 19:45:21,2018-12-16 19:47:09,Chrome 57.0.2987.132,Android Linux 8.0,1分48秒,正常完成,学生,,博士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,能力与人类差不多
49,60.207.237.48,,,,,,,,,2018-12-16 19:47:11,2018-12-16 19:49:43,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,2分32秒,正常完成,学生,,硕士,理科,女,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
50,111.40.189.50,,,,,,,,,2018-12-16 19:49:09,2018-12-16 19:50:44,Chrome 57.0.2987.132,Android Linux 7.0,1分35秒,正常完成,学生,,本科,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,有思考和学习能力
51,114.242.249.171,,,,,,,,,2018-12-16 19:50:23,2018-12-16 19:52:04,Unknown Browser,iPhone iOS 12.0,1分41秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的灭亡，人类被AI支配的时代,超越人类
52,106.34.43.117,,,,,,,,,2018-12-16 19:51:36,2018-12-16 19:52:38,Chrome 66.0.3359.126,Android Linux 8.0.0,1分2秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,超越人类
53,59.63.206.82,,,,,,,,,2018-12-16 19:55:42,2018-12-16 19:57:04,Unknown Browser,iPhone iOS 12.0.1,1分22秒,正常完成,学生,,本科,理科,女,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,完成机械工作即可
54,171.10.179.131,,,,,,,,,2018-12-16 19:59:59,2018-12-16 20:01:57,Unknown Browser,iPhone iOS 11.4.1,1分58秒,正常完成,其他,20-29,本科,理科,女,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,完成机械工作即可
55,223.102.220.6,,,,,,,,,2018-12-16 20:02:55,2018-12-16 20:03:58,Chrome 57.0.2987.132,Android Linux 7.1.1,1分3秒,正常完成,其他,20-29,本科,文科,女,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,完成机械工作即可
56,220.170.50.56,,,,,,,,,2018-12-16 20:15:33,2018-12-16 20:16:51,Unknown Browser,iPhone iOS 12.1,1分18秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,完成机械工作即可
57,1.58.73.211,,,,,,,,,2018-12-16 20:17:03,2018-12-16 20:17:41,Chrome 66.0.3359.126,Android Linux 7.1.2,0分38秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
58,60.207.237.23,,,,,,,,,2018-12-16 20:25:11,2018-12-16 20:26:09,Chrome 68.0.3440.91,Android Linux 8.1.0,0分58秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,超越人类
59,60.207.237.59,,,,,,,,,2018-12-16 20:27:35,2018-12-16 20:28:05,Chrome 57.0.2987.132,Android Linux 8.0,0分30秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,完成机械工作即可
60,114.242.250.226,,,,,,,,,2018-12-16 20:29:22,2018-12-16 20:30:26,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,1分4秒,正常完成,其他,20-29,本科,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,能力与人类差不多
61,124.161.8.81,,,,,,,,,2018-12-16 20:31:21,2018-12-16 20:32:49,Chrome 57.0.2987.132,Android Linux 8.0,1分28秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
62,61.148.243.104,,,,,,,,,2018-12-16 20:32:39,2018-12-16 20:35:10,Chrome 66.0.3359.126,Android Linux 6.0.1,2分31秒,正常完成,学生,,硕士,理科,女,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
63,223.104.20.172,,,,,,,,,2018-12-16 20:37:34,2018-12-16 20:38:08,Unknown Browser,iPhone iOS 12.0.1,0分34秒,正常完成,学生,,本科,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
64,122.96.42.165,,,,,,,,,2018-12-16 20:38:42,2018-12-16 20:39:24,Chrome 57.0.2987.132,Android Linux 8.0,0分42秒,正常完成,学生,,本科,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,无所谓，有没有都行，就当AI是普通人，是朋友,人类的解放，人类终于能实现自我理想,完成机械工作即可
65,49.65.59.15,,,,,,,,,2018-12-16 20:39:19,2018-12-16 20:40:26,Chrome 57.0.2987.132,Android Linux 7.1.1,1分7秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,能力与人类差不多
66,182.139.51.31,,,,,,,,,2018-12-16 20:48:54,2018-12-16 20:50:17,Chrome 57.0.2987.132,Android Linux 8.0,1分23秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的灭亡，人类被AI支配的时代,完成机械工作即可
67,60.207.237.48,,,,,,,,,2018-12-16 20:53:21,2018-12-16 20:55:00,Unknown Browser,iPhone iOS 12.1,1分39秒,正常完成,学生,,硕士,理科,女,害怕担心反对,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
68,60.207.237.54,,,,,,,,,2018-12-16 21:09:55,2018-12-16 21:11:02,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,1分7秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,无所谓，有没有都行，就当AI是普通人，是朋友,人类的灭亡，人类被AI支配的时代,超越人类
69,60.207.237.63,,,,,,,,,2018-12-16 21:14:35,2018-12-16 21:15:37,Unknown Browser,iPhone iOS 12.0,1分2秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
70,58.218.202.147,,,,,,,,,2018-12-16 21:24:26,2018-12-16 21:25:36,Chrome 57.0.2987.132,Android Linux 9.0,1分10秒,正常完成,其他,20-29,本科,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,超越人类
71,171.223.172.51,,,,,,,,,2018-12-16 21:25:33,2018-12-16 21:27:15,Chrome 57.0.2987.132,Android Linux 5.1,1分42秒,正常完成,其他,40以上,本科,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,有思考和学习能力
72,171.223.172.51,,,,,,,,,2018-12-16 21:41:26,2018-12-16 21:48:47,Chrome 66.0.3359.126,Android Linux 9,7分21秒,正常完成,其他,40以上,本科,文科,女,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,能力与人类差不多
73,60.207.237.71,,,,,,,,,2018-12-16 22:17:42,2018-12-16 22:18:38,Chrome 70.0.3538.110,Android Linux 8.1.0,0分56秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,无所谓，有没有都行，就当AI是普通人，是朋友,人类的灭亡，人类被AI支配的时代,有思考和学习能力
